Country,Culture,Language,Genre_Album,Year,SampleAudio,CatalogNumber,songurls_Album,Instrument,Distance,Outlier
United Kingdom,,,World,1964.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08719/FW08719_07.mp3,FW08719_107,http://www.folkways.si.edu/paul-gwynne-phillips/queen-jane/world/music/track/smithsonian,Banjo,67.9971324723,1
Hungary,Romani,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00700/MON00700_01.mp3,MON00700_101,http://www.folkways.si.edu/bela-babai-and-his-fiery-gypsies/boka-kesergo-bokas-lament/world/music/track/smithsonian,Accordion,14.4956395222,0
Armenia,Armenian-American,,World,1976.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71775/MON71775_07.mp3,MON71775_107,http://www.folkways.si.edu/john-vartan-ensemble/parev-darek/world/music/track/smithsonian,Guitar,39.5887516416,1
Armenia,Armenian-American,,World,1993.0,http://media.smithsonianfolkways.org/audio/samples/smithsonian_folkways/SFW40414/SFW40414_09.mp3,SFW40414_109,http://www.folkways.si.edu/richard-hagopian/hele-hele/world/music/track/smithsonian,Oud,42.4976994717,1
Uganda,Ganda,Ganda,World,1952.0,http://media.smithsonianfolkways.org/audio/samples/ilam/ILAMTR139B/ILAMTR139B_01.mp3,ILAMTR139B_101,http://www.folkways.si.edu/evaristo-n-muyinda-and-yakobo-ssewakirya/munya-qwerira-munyale/track/smithsonian,Vocals,124.106866721,1
Hungary,Romani,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00700/MON00700_08.mp3,MON00700_204,http://www.folkways.si.edu/bela-babai-and-his-fiery-gypsies/serbian-medley-da-smo-se-ranije-sreli-if-we-had-met-sooner/imam-jednu-zelju-i-have-a-desire/pasina-emina-the-pashas-empire/world/music/track/smithsonian,Accordion,48.4680670884,1
Armenia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON61452/MON61452_08.mp3,MON61452_108,http://www.folkways.si.edu/hachig-kazarian-ensemble/oud-fantasy/world/music/track/smithsonian,Piano,34.5688957326,1
Armenia,Armenian-American,,World,1993.0,http://media.smithsonianfolkways.org/audio/samples/smithsonian_folkways/SFW40414/SFW40414_10.mp3,SFW40414_110,http://www.folkways.si.edu/richard-hagopian/kurdili-hicazkiar-longa/world/music/track/smithsonian,Oud,49.3820842733,1
Hungary,,,World,1957.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06803/FW06803_03.mp3,FW06803_103,http://www.folkways.si.edu/suzy-sann/childrens-songs/world/music/track/smithsonian,Vocals,18.8324458326,0
Portugal,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00396/MON00396_09.mp3,MON00396_203,http://www.folkways.si.edu/fernanda-maria/canoa-de-vela-branca-the-boat-with-white-sails/world/music/track/smithsonian,nan,49.9937851459,1
Hungary,,,World,1957.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06803/FW06803_02.mp3,FW06803_102,http://www.folkways.si.edu/suzy-sann/love-songs/world/music/track/smithsonian,Vocals,19.4017268099,0
Hungary,,,World,1957.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06803/FW06803_05.mp3,FW06803_201,http://www.folkways.si.edu/suzy-sann/soldiers-life/world/music/track/smithsonian,Vocals,28.3639004557,0
Armenia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00815/MON00815_02.mp3,MON00815_102,http://www.folkways.si.edu/liz-sarian/seres-kardni-tor-mena/world/music/track/smithsonian,nan,21.8268609466,0
Armenia,Armenian,Armenian,World,1995.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71352/MON71352_18.mp3,MON71352_118,http://www.folkways.si.edu/armenian-song-dance-ensemble/es-gisher-lusnak-gisher-this-night-moonlit-night/world/music/track/smithsonian,Conductor,53.2256214739,1
